"index","organization_id","name","country","description","order_date","ship_date","industry","no_of_emp","customer_id","product_id","sales"
1,"E84A904909dF528","Liu-Hoover","Western Sahara","Ergonomic zero administration knowledge user","2014-08-15","2014-08-17","Online Publishing",6852,"CG-12520","FUR-BO-10001798","91.36"
2,"AAC4f9aBF86EAeF","Orr-Armstrong","Algeria","Ergonomic radical budgetary management","2014-08-15","2014-08-17","Import / Export",7994,"CG-12520","FUR-CH-10000454","152.24"
3,"ad2eb3C8C24DB87","Gill-Lamb","Cote d'Ivoire","Programmable intermediate conglomeration","2017-11-11","2017-11-13","Apparel / Fashion",5105,"DV-13045","OFF-LA-10000240","35.184"
4,"D76BB12E5eE165B","Bauer-Weiss","United States of America","Synergistic maximized definition","2017-03-20","2017-03-20","Dairy",9069,"SO-20335","FUR-TA-10000577","56.704"
5,"2F31EddF2Db9aAE","Love-Palmer","Denmark","Optimized optimizing moderator","2017-03-20","2017-03-20","Management Consulting",6991,"SO-20335","OFF-ST-10000760","274.064"
6,"6774DC1dB00BD11","Farmer, Edwards and Andrade","Norfolk Island","Virtual leadingedge benchmark","2017-05-13","2017-05-17","Mental Health Care",3503,"BH-11710","FUR-FU-10001487","458.43"
7,"116B5cD4eE1fAAc","Bass, Hester and Mcclain","Uzbekistan","Multi-tiered system-worthy hub","2014-06-22","2014-06-22","Computer Hardware",2762,"BH-11710","OFF-AR-10002833","8.226"
8,"AB2eA15d98b6BD4","Strickland, Gray and Jensen","Israel","Team-oriented fresh-thinking knowledge user","2014-12-02","2014-12-09","Performing Arts",7020,"BH-11710","TEC-PH-10002275","5.95"
9,"0c6D831e8DceCfE","Sparks, Decker and Powell","Israel","Down-sized content-based info-mediaries","2014-12-02","2014-12-09","Marketing / Advertising / Sales",2709,"BH-11710","OFF-BI-10003910","15.24"
10,"9ABE0c8aee135d6","Osborn, Ford and Macdonald","Syrian Arab Republic","Optional coherent focus group","2015-04-05","2015-04-06","Investment Banking / Venture",5731,"BH-11710","OFF-AP-10002892","239.94"
11,"C494aBe0CDB9c70","Gonzales Inc","Angola","Enterprise-wide attitude-oriented conglomeration","2015-04-05","2015-04-06","Capital Markets / Hedge Fund / Private Equity",2252,"BH-11710","FUR-TA-10001539","23.84"
12,"9FBF69aa2D9AAF1","Ballard, Goodman and Boone","Iran","Multi-layered zero administration ability","2017-11-18","2017-11-18","Logistics / Procurement",6165,"BH-11710","TEC-PH-10002033","92.52"
13,"4EB9d3E5cF79b91","Bernard, Payne and Spencer","Afghanistan","Polarized dynamic projection","2017-11-18","2017-11-18","Transportation",730,"AA-10480","OFF-PA-10002365","37.76"
14,"e5CA6529DCD4030","Mcpherson-Blanchard","Bulgaria","Integrated didactic product","2017-11-18","2017-11-18","Law Enforcement",9890,"IM-15070","OFF-BI-10003656","7.38"
15,"b0BBeBB36bAbb35","Koch, Gomez and Hays","French Southern Territories","Operative national superstructure","2017-11-18","2017-11-18","Financial Services",8497,"HP-14815","OFF-AP-10002311","5.82"
16,"CDa7Ec784D5A8Bd","Meza, Ramirez and Braun","Timor-Leste","Customer-focused multi-tasking ability","2017-07-12","2017-07-18","Public Relations / PR",5205,"HP-14815","OFF-BI-10000756","3.816"
17,"b7cBE6A9E79A56F","Morales, Hinton and Gibbs","Serbia","Seamless global utilization","2017-05-19","2017-05-23","Museums / Institutions",6706,"PK-19075","OFF-ST-10004186","26.16"
18,"e5cab57FFF6f4bd","Abbott-Arroyo","Hungary","Visionary holistic firmware","2015-12-20","2015-12-21","Architecture / Planning",117,"AG-10270","OFF-ST-10000107","100.8"
19,"3851f381Ea54d70","Trevino-Foley","Canada","Enterprise-wide 6thgeneration parallelism","2016-02-21","2016-02-22","Wine / Spirits",6765,"ZD-21925","OFF-AR-10003056","135.8"
20,"2FaDD3Ac0fB4052","Bowman, Walters and Sawyer","Yemen","Exclusive client-server collaboration","2017-03-18","2017-03-22","Think Tanks",5926,"ZD-21925","TEC-PH-10001949","13.9"
21,"0502B16c90e7072","Shepherd PLC","Jamaica","Sharable zero-defect methodology","2017-03-18","2017-03-22","Newspapers / Journalism",5687,"ZD-21925","OFF-BI-10002215","19.4"
22,"12b447DFF9eef1f","Solis, Knapp and Nash","Marshall Islands","Visionary content-based model","2016-12-17","2016-12-23","Aviation / Aerospace",9277,"KB-16585","OFF-AR-10000246","13.488"
23,"efc5C915AcbF437","Young, Buchanan and Vazquez","Greenland","Customizable disintermediate attitude","2016-12-17","2016-12-23","Sports",8299,"KB-16585","OFF-AP-10001492","11.416"
24,"3dc422C0ac77DE1","Ford, Patel and Singleton","Iraq","Centralized intangible knowledge user","2016-03-26","2016-03-28","Defense / Space",7245,"SF-20065","FUR-CH-10002774","17.64"
25,"F86a2ca7a4def88","King Inc","French Southern Territories","Phased logistical project","2016-03-26","2016-03-28","Real Estate / Mortgage",7464,"EB-13870","FUR-TA-10000577","17.04"
26,"FAACec3019Bf7F5","Jacobs-Kline","Bhutan","Inverse 6thgeneration pricing structure","2014-12-16","2014-12-18","Sporting Goods",2788,"EH-13945","OFF-BI-10001634","99.98"
27,"87DfB4DddDdC345","Hardin, Walsh and Arias","Thailand","Inverse methodical solution","2014-12-16","2014-12-18","Graphic Design / Web Design",3738,"EH-13945","TEC-AC-10003027","29.46"
28,"6A4daD8c40aa962","Mccann, Dominguez and Ray","Guadeloupe","Mandatory systemic moderator","2015-11-15","2015-11-20","Broadcast Media",8641,"TB-21520","FUR-BO-10004834","166.92"
29,"8Dddb95Ec0BdfF3","Beltran Ltd","Uzbekistan","Digitized 4thgeneration encryption","2016-08-22","2016-08-23","Media Production",2952,"TB-21520","OFF-BI-10000474","98.328"
30,"8B901f70eAF1BBE","Chaney-Kent","Hungary","Expanded analyzing Graphic Interface","2015-06-29","2015-07-02","Professional Training",1075,"TB-21520","FUR-FU-10004848","117.882"
31,"99c991d513A6EFB","Thomas PLC","Maldives","Right-sized national projection","2016-06-26","2016-07-02","Telecommunications",2548,"TB-21520","OFF-EN-10001509","20.97"
32,"fa86Cf14EFab3DC","Patton Inc","Seychelles","Cloned mobile architecture","2016-06-26","2016-07-02","Venture Capital / VC",95,"TB-21520","OFF-AR-10004042","139.96"
33,"CAFbcFc67aB9e31","Gay Inc","Myanmar","Polarized explicit focus group","2016-06-26","2016-07-02","Luxury Goods / Jewelry",8106,"TB-21520","OFF-BI-10001525","37.74"
34,"ad19ebCB2BB7eE5","House-Perry","Maldives","Vision-oriented 6thgeneration leverage","2016-09-17","2016-09-22","Arts / Crafts",2938,"TB-21520","OFF-AR-10001683","14.82"
35,"9f8eFb3D03193DB","Cortez LLC","Antarctica (the territory South of 60 deg S)","Customer-focused background approach","2016-09-17","2016-09-22","Printing",9056,"MA-17560","OFF-PA-10000249","191.82"
36,"2C296aE0AA2Ff5d","Bridges-Carroll","Liechtenstein","Extended 24hour implementation","2014-07-18","2014-07-23","Commercial Real Estate",8937,"GH-14485","TEC-PH-10004977","13.904"
37,"83f947d8Ee5773B","Powers-Mack","Falkland Islands (Malvinas)","Future-proofed grid-enabled application","2017-09-01","2017-09-01","Sporting Goods",3985,"GH-14485","FUR-FU-10003664","314.6"
38,"d5A9ACE6035F9ce","Baldwin, Warner and Russell","Jersey","Persistent disintermediate capacity","2017-09-01","2017-09-01","Legal Services",7675,"SN-20710","OFF-EN-10002986","283.56"
